epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,1692.73,0.72744,0.72274,1.15676,0.9585,0.97445,0.99343,0.82109,0.60337,0.59239,0.97106,0.000495291,0.000495291,0.000495291
68,1712.35,0.69506,0.64663,1.11553,0.95961,0.99431,0.99435,0.84724,0.56385,0.5534,0.94107,0.000481144,0.000481144,0.000481144
69,1731.69,0.77094,0.69893,1.19653,0.9812,0.98689,0.99467,0.87255,0.52715,0.53467,0.92702,0.000466997,0.000466997,0.000466997
70,1751.07,0.82182,0.84205,1.22309,0.98869,0.99942,0.995,0.85954,0.5425,0.56769,0.93132,0.00045285,0.00045285,0.00045285
71,1770.82,0.75777,0.62938,1.12703,0.95345,0.99902,0.99467,0.85629,0.5727,0.57894,0.94212,0.000438703,0.000438703,0.000438703
72,1790.22,0.74145,0.67652,1.13274,0.9293,1,0.99435,0.87532,0.51606,0.57383,0.91558,0.000424556,0.000424556,0.000424556
73,1810.52,0.75036,0.66044,1.1141,0.92786,1,0.99435,0.88853,0.52166,0.56691,0.90494,0.000410409,0.000410409,0.000410409
74,1830.14,0.76482,0.72537,1.20199,0.93295,1,0.99435,0.87792,0.53557,0.5538,0.90558,0.000396262,0.000396262,0.000396262
75,1849.2,0.78972,0.70802,1.18775,0.94821,0.99676,0.99435,0.87393,0.52975,0.53699,0.90528,0.000382115,0.000382115,0.000382115
76,1868.42,0.6967,0.61985,1.09988,0.98894,0.98597,0.99467,0.8857,0.47277,0.51236,0.88641,0.000367967,0.000367967,0.000367967
77,1888.06,0.72623,0.72145,1.1468,0.99421,0.98657,0.99467,0.89655,0.46806,0.50146,0.8817,0.00035382,0.00035382,0.00035382
78,1907.26,0.65016,0.60605,1.09444,0.99255,0.98851,0.99467,0.90672,0.46782,0.49615,0.88119,0.000339673,0.000339673,0.000339673
79,1926.51,0.72877,0.64089,1.14627,0.99035,0.98851,0.99467,0.90847,0.47132,0.49572,0.8828,0.000325526,0.000325526,0.000325526
80,1945.8,0.7075,0.63622,1.14051,0.99603,0.98851,0.99435,0.90167,0.46284,0.50236,0.87947,0.000311379,0.000311379,0.000311379
81,1965.05,0.72089,0.61106,1.14354,0.97757,0.98851,0.99435,0.89639,0.46416,0.50035,0.88056,0.000297232,0.000297232,0.000297232
82,1984.44,0.65893,0.62852,1.1045,0.97834,0.98851,0.99435,0.89181,0.46209,0.49693,0.87949,0.000283085,0.000283085,0.000283085
83,2003.83,0.67825,0.61983,1.0999,0.97837,0.98851,0.99435,0.88637,0.4581,0.49213,0.87629,0.000268938,0.000268938,0.000268938
84,2023.21,0.74994,0.65151,1.14414,0.97771,0.98851,0.99435,0.89193,0.44697,0.47396,0.8689,0.000254791,0.000254791,0.000254791
85,2042.53,0.64123,0.58142,1.0828,0.97727,0.98851,0.99343,0.89454,0.43635,0.47095,0.86575,0.000240644,0.000240644,0.000240644
86,2061.77,0.74486,0.66025,1.14009,0.97729,0.98851,0.99343,0.89633,0.42677,0.46746,0.86196,0.000226497,0.000226497,0.000226497
87,2080.87,0.64971,0.63282,1.10687,0.97745,0.98851,0.99232,0.89321,0.41839,0.46249,0.8585,0.000212349,0.000212349,0.000212349
88,2099.89,0.61613,0.61453,1.08043,0.97436,0.98851,0.99152,0.89417,0.42041,0.4578,0.85328,0.000198202,0.000198202,0.000198202
89,2119.21,0.6048,0.55194,1.09746,0.97377,0.98851,0.99152,0.89276,0.42132,0.45162,0.85197,0.000184055,0.000184055,0.000184055
90,2138.44,0.6274,0.59211,1.08218,0.97425,0.98851,0.99152,0.89527,0.41696,0.44351,0.85006,0.000169908,0.000169908,0.000169908
91,2157.45,0.48923,0.67235,1.04656,0.97516,0.98851,0.99152,0.89416,0.41338,0.43787,0.84711,0.000155761,0.000155761,0.000155761
92,2176.04,0.48349,0.64531,1.04844,0.97376,0.98851,0.99152,0.90275,0.41592,0.4421,0.8437,0.000141614,0.000141614,0.000141614
93,2194.95,0.44518,0.63959,1.05226,0.97191,0.98851,0.99263,0.90644,0.42124,0.46305,0.8448,0.000127467,0.000127467,0.000127467
94,2213.51,0.45052,0.59982,0.98752,0.96807,0.98851,0.99374,0.91271,0.42082,0.48619,0.84494,0.00011332,0.00011332,0.00011332
95,2232.82,0.45324,0.67971,1.041,0.96179,0.98851,0.99374,0.91377,0.42215,0.50795,0.84498,9.91726e-05,9.91726e-05,9.91726e-05
96,2251.74,0.45584,0.61691,1.04337,0.95773,0.99888,0.99374,0.91214,0.41539,0.5226,0.84178,8.50255e-05,8.50255e-05,8.50255e-05
97,2271.16,0.45389,0.63999,1.03658,0.95532,1,0.99374,0.91257,0.40679,0.50975,0.83835,7.08784e-05,7.08784e-05,7.08784e-05
98,2290.26,0.44293,0.60321,1.03416,0.95512,1,0.99374,0.9125,0.40003,0.49494,0.83555,5.67313e-05,5.67313e-05,5.67313e-05
99,2309.13,0.4304,0.58232,1.00407,0.95881,0.98657,0.99374,0.91215,0.39377,0.4813,0.83286,4.25842e-05,4.25842e-05,4.25842e-05
100,2327.89,0.4641,0.59603,1.05311,0.98034,0.97362,0.99374,0.91605,0.38676,0.45768,0.82946,2.84371e-05,2.84371e-05,2.84371e-05
